date,region,store,units,price,salesrep,endcap,demo,demo13,demo45,natural,fitness
5/4/2010,FL,Biscayne (aka Aventura),150.70209,4.3899999,0,0,0,0,0,1,0
5/11/2010,FL,Biscayne (aka Aventura),197.40379,3.9976923,0,0,0,0,0,1,0
5/18/2010,FL,Biscayne (aka Aventura),235.10617,3.8092308,0,0,0,0,0,1,0
5/25/2010,FL,Biscayne (aka Aventura),226.69243,3.835,0,0,0,0,0,1,0
6/1/2010,FL,Biscayne (aka Aventura),257.68814,3.9024999,0,0,0,0,0,1,0
6/8/2010,FL,Biscayne (aka Aventura),132.95718,4.4976921,0,0,0,0,0,1,0
6/15/2010,FL,Biscayne (aka Aventura),221.88997,4.1166668,0,0,0,0,0,1,0
6/22/2010,FL,Biscayne (aka Aventura),245.88136,4.1166668,0,0,0,0,0,1,0
6/29/2010,FL,Biscayne (aka Aventura),156.10254,4.1166668,0,0,0,0,0,4,0
7/6/2010,FL,Biscayne (aka Aventura),200.10397,3.7473333,0,0,0,0,0,1,0
7/13/2010,FL,Biscayne (aka Aventura),128.396,4.0124998,0,0,0,0,0,1,0
5/4/2010,FL,Boca Raton,142.77821,4.3899999,0,0,0,0,0,0,4
5/11/2010,FL,Boca Raton,237.54456,4.2354546,0,0,0,0,0,0,4
5/18/2010,FL,Boca Raton,141.53329,3.8092308,0,0,0,0,0,0,4
5/25/2010,FL,Boca Raton,158.07394,3.8092308,0,0,0,0,0,0,4
6/1/2010,FL,Boca Raton,255.11774,4.055625,0,0,0,0,0,0,4
6/8/2010,FL,Boca Raton,129.79362,4.3833332,0,0,0,0,0,0,4
6/15/2010,FL,Boca Raton,137.76428,4.3587499,0,0,0,0,0,0,4
6/22/2010,FL,Boca Raton,306.79382,4.3587499,0,0,0,0,0,0,4
6/29/2010,FL,Boca Raton,103.31902,4.3587499,0,0,0,0,0,0,4
7/6/2010,FL,Boca Raton,240.22517,4.0124998,0,0,0,0,0,0,4
7/13/2010,FL,Boca Raton,190.0248,4.0124998,0,0,0,0,0,0,4
5/4/2010,FL,Coral Gables,149.76787,4.5185714,0,0,0,0,0,2,1
5/11/2010,FL,Coral Gables,223.61276,3.72,0,0,0,0,0,2,1
5/18/2010,FL,Coral Gables,216.36969,3.7936363,0,0,0,0,0,2,1
5/25/2010,FL,Coral Gables,205.53494,3.904,0,0,0,0,0,2,1
6/1/2010,FL,Coral Gables,131.62653,4.0433335,0,0,0,0,0,2,1
6/8/2010,FL,Coral Gables,199.93391,4.4066668,0,1,0,0,0,2,1
6/15/2010,FL,Coral Gables,217.95189,4.3587499,0,1,0,0,0,2,1
6/22/2010,FL,Coral Gables,139.61353,4.3899999,0,1,0,0,0,2,1
